a little	văn chương, văn học
elsewhere	ở một nơi nào khác
embarrass	lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
embarrassed	lúng túng, bối rối, ngượng; mang nợ
embarrassing	làm lúng túng, ngăn trở
embarrassment	sự lúng túng, sự bối rối
emerge	nổi lên, hiện ra; nổi bật lên
emergency	tình trạng khẩn cấp
emotion	sự xúc động, sự cảm động, mối xúc cảm
emotional	cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotionally	xúc động
emphasis	sự nhấn mạnh, tầm quan trọng
emphasize	nhấn mạnh, làm nổi bật
empire	đế chế, đế quốc
employ	dùng, thuê ai làm gì
employee	người lao động, người làm công
employer	chủ, người sử dụng lao động
employment	sự thuê mướn
employment	sự thuê mướn
empty	trống, rỗng; đổ, dốc; uống, làm cạn
enable	làm cho có thể, có khả năng; cho phép ai làm gì
encounter	chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encourage	động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement	niềm cổ vũ, động viên, khuyến khích, sự làm can đảm
end	giới hạn, sự kết thúc; kết thúc, chấm dứt
ending	sự kết thúc, sự chấm dứt; phần cuối, kết cục
enemy	kẻ thù, quân địch
energy	năng lượng, nghị lực, sinh lực
engage	hứa hẹn, cam kết, đính ước
engaged	đã đính ước, đã hứa hôn
engine	máy, động cơ
engineer	kỹ sư
engineering	nghề kỹ sư, công việc của kỹ sư
enjoy	thưởng thức, thích thú cái gì, được hưởng, có được
enjoyable	thú vị, thích thú
enjoyment	sự thích thú, sự có được, được hưởng
enormous	to lớn, khổng lồ
enough	to lớn, khổng lồ
enquiry	sự điều tra, sự thẩm vấn
ensure	bảo đảm, chắc chắn
enter	đi vào, gia nhập
entertain	giải trí, tiếp đón, chiêu đãi
entertainer	người quản trò, người tiếp đãi, chiêu đãi
entertaining	giải trí
entertainment	sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm	sự hăng hái, sự nhiệt tình
enthusiastic	hăng hái, say mê, nhiệt tình
entire	toàn thể, toàn bộ
entirely	toàn vẹn, trọn vẹn, toàn bộ
entitle	cho tiêu đề, cho tên (sách); cho quyền làm gì
entrance	sự đi vào, sự nhậm chức
entry	sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)
envelope	phong bì
environment	môi trường, hoàn cảnh xung quanh
environmental	thuộc về môi trường
equal	ngang, bằng; người ngang hàng, ngang tài,sức
equally	bằng nhau, ngang bằng
equipment	trang, thiết bị
equivalent	tương đương; từ, vật tương đương
error	lỗi, sự sai sót, sai lầm
escape	trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially	đặc biệt là, nhất là
essay	bài tiểu luận
essential	bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentially	về bản chất, về cơ bản
establish	lập, thành lập
estate	tài sản, di sản, bất động sản
estimate	sự ước lượng, đánh giá; ước lượng, đánh giá
even	ngay cả, ngay, lại còn; bằng phẳng, điềm đạm,ngang bằng
evening	buổi chiều, tối
event	sự việc, sự kiện
eventually	cuối cùng
ever	từng, từ trước tới giờ
every	mỗi, mọi
evidence	điều hiển nhiên, điều rõ ràng
evil	xấu, ác; điều xấu, điều ác, điều tai hại
exact	chính xác, đúng
exactly	chính xác, đúng đắn
exaggerate	cường điệu, phóng đại
exaggerated	cường điệu, phòng đại
exam	viết tắt của examination
examination	sự thi cử, kỳ thi
examine	thẩm tra, khám xét, hỏi han (thí sinh)
example	thí dụ, ví dụ
excellent	xuất sắc, xuất chúng
except	trừ ra, không kể; trừ phi
exception	sự trừ ra, sự loại ra
exchange	trao đổi; sự trao đổi
excite	kích thích, kích động
excited	bị kích thích, bị kích động
excitement	sự kích thích, sự kích động
exciting	hứng thú, thú vị
exclude	ngăn chạn, loại trừ
excluding	ngoài ra, trừ ra
excuse	lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi
executive	sự thi hành, chấp hành; (thuộc) sự thi hành,chấp hành
exercise	bài tập, sự thi hành, sự thực hiện; làm, thi hành, thực hiện
exhibit	trưng bày, triển lãm; vật trưng bày, vật triển lãm
exhibition	cuộc triển lãm, trưng bày
exist	tồn tại, sống
existence	sự tồn tại, sự sống
exit	lỗi ra, sự đi ra, thoát ra
expand	mở rộng, phát triển, nở, giãn ra
expect	chờ đợi, mong ngóng; liệu trước
expectation	sự mong chờ, sự chờ đợi
expected	được chờ đợi, được hy vọng
expense	chi phí
expensive	đắt
experience	kinh nghiệm; trải qua, nếm mùi
experienced	có kinh nghiệm, từng trải, giàu kinh nghiệm
experiment	cuộc thí nghiệm, thí nghiệm
expert	chuyên gia; chuyên môn, thành thạo
explain	giải nghĩa, giải thích
explanation	sự giải nghĩa, giải thích
explode	đập tan (hy vọng...), làm nổ, nổ
explore	thăm dò, thám hiểm
explosion	sự nổ, sự phát triển ồ ạt
export	xuất khẩu; hàng xuất khẩu, sự xuất khẩu
expose	trưng bày, phơi bày
express	diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
expression	sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extend	giơ, duỗi ra (tay, chân); kéo dài (thời gian),dành cho, gửi lời
extension	sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
extensive	rộng rãi, bao quát
extent	quy mô, phạm vi
extra	thêm, phụ, ngoại; thứ thêm, phụ
extraordinary	đặc biệt, lạ thường, khác thường
extreme	vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
extremely	vô cùng, cực độ
face	mặt, thể diện; đương đầu, đối phó, đối mặt
facility	điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact	việc, sự việc, sự kiện
factor	nhân tố
factory	nhà máy, xí nghiệp, xưởng
fail	sai, thất bại
failure	sự thất bại, người thất bại
faint	nhút nhát, yếu ớt
faintly	nhút nhát, yếu ớt
fair	hợp lý, công bằng; thuận lợi
fairly	hợp lý, công bằng
faith	sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
faithful	trung thành, chung thủy, trung thực
faithfully	trung thành, chung thủy, trung thực
fall	rơi, ngã, sự rơi, ngã
fall over	rơi, ngã, sự rơi, ngã
false	sai, nhầm, giả dối
fame	tên tuổi, danh tiếng
familiar	thân thiết, quen thuộc
family	gia đình, thuộc gia đình
famous	nổi tiếng
fancy	tưởng tượng, cho, nghĩ rằng; tưởng tượng
far	xa
farm	trang trại
farmer	nông dân, người chủ trại
farming	công việc trồng trọt, đồng áng
fashion	mốt, thời trang
fashionable	đúng mốt, hợp thời trang
fast	nhanh
fasten	buộc, trói
fat	béo, béo bở; mỡ, chất béo
faucet	vòi (ở thùng rượu....)
fault	sự thiết sót, sai sót
favour	thiện ý, sự quý mến; sự đồng ý; sự chiếu cố
favourite	được ưa thích; người (vật) được ưa thích
fear	sự sợ hãi, e sợ; sợ, lo ngại
feather	lông chim
feature	nét đặt biệt, điểm đặc trưng; mô tả nét đặc biệt,đặc trưng của...
february	nét đặt biệt, điểm đặc trưng; mô tả nét đặc biệt,đặc trưng của...
federal	liên bang
fee	tiền thù lao, học phí
feed	cho ăn, nuôi
feel	cảm thấy
feel sick	ốm, đau, bệnh
feeling	sự cảm thấy, cảm giác
fellow	anh chàng (đang yêu), đồng chí
female	thuộc giống cái; giống cái
fence	hàng rào
festival	lễ hội, đại hội liên hoan
fetch	tìm về, đem về; làm bực mình; làm say mê, quyến rũ
fever	cơn sốt, bệnh sốt
few	pro(n) ít,vài; một ít, một vài
field	cánh đồng, bãi chiến trường
fight	đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu
fighting	sự chiến đấu, sự đấu tranh
figure	hình dáng, nhân vật; hình dung, miêu tả
file	hồ sơ, tài liệu
fill	làm đấy, lấp kín
film	phim, được dựng thành phim
final	cuối cùng, cuộc đấu chung kết
finally	cuối cùng, sau cùng
finance	tài chính; tài trợ, cấp vốn
financial	thuộc (tài chính)
find	tìm, tìm thấy
find out sth	tìm, tìm thấy
fine	tốt, giỏi
finely	đẹp đẽ, tế nhị, cao thượng
finger	ngón tay
finish	kết thúc, hoàn thành; sự kết thúc, phần cuối
finished	hoàn tất, hoàn thành
fire	lửa; đốt cháy
firm	hãng, công ty; chắc, kiên quyết, vững vàng
firmly	vững chắc, kiên quyết
first	thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
fish	cá, món cá; câu cá, bắt cá
fishing	sự câu cá, sự đánh cá
fit	hợp, vừa; thích hợp, xứng đáng
fix	đóng, gắn, lắp; sửa chữa, sửa sang
fixed	đứng yên, bất động
flag	quốc kỳ
flame	ngọn lửa
flash	loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
flat	bằng phẳng, bẹt, nhẵn; dãy phòng, căn phòng, mặt phẳng
flavour	vị, mùi; cho gia vị, làm tăng thêm mùi vị
flesh	thịt
flight	sự bỏ chạy, rút chạy; sự bay, chuyến bay
float	nổi, trôi, lơ lửng
flood	lụt, lũ lụt; tràn đầy, tràn ngập
floor	sàn, tầng (nhà)
flour	bột, bột mỳ
flow	sự chảy; chảy
flu	bệnh cúm
fly	bay; sự bay, quãng đường bay
flying	biết bay; sự bay, chuyến bay
focus	tập trung; trung tâm, trọng tâm
fold	gấp, vén, xắn; nếp gấp
folding	gấp lại được
follow	đi theo sau, theo, tiếp theo
following	(n)prep.tiếp theo, theo sau, sau đây; sau, tiếp theo
foot	chân, bàn chân
football	bóng đá
for	cho, dành cho...
for instance	thí dị, ví dụ; trường hợp cá biệt
force	sức mạnh; ép buộc, cưỡng ép
forecast	sự dự đoán, dự báo; dự đoán, dự báo
foreign	(thuộc) nước ngoài, từ nước ngoài, ở nước ngoài
forest	rừng
forever	mãi mãi
forget	quên
forgive	tha, tha thứ
fork	cái nĩa
form	hình thể, hình dạng, hình thức; làm thành, được tạo thành
formal	trang trọng,theo nghi thức
formalize	nghi thức hóa,trang trọng hóa
former	trước, cũ, xưa, nguyên
formerly	trước đây, thuở xưa
formula	công thức, thể thức, cách thức
fortune	sự giàu có, sự thịnh vượng
forward	về tương lai, sau này ở phía trước,tiến về phía trước
foundation	sự thành lập, sự sáng lập; tổ chức
frame	cấu trúc, hệ thống; dàn xếp, bố trí
free	miễn phí, tự do, giải phóng, trả tự do
freedom	sự tự do; nền tự do
freely	tự do, thoải mái
freeze	đóng băng, đông lạnh
freeze	sự đông lạnh, sự giá lạnh; làm đông, làm đóng băng
frequent	thường xuyên
frequently	thường xuyên
fresh	tươi, tươi tắn
freshly	tươi mát, khỏe khoắn
fridge	tủ lạnh
friendly	thân thiện, thân mật
friendship	tình bạn, tình hữu nghị
frighten	làm sợ, làm hoảng sợ
frightened	hoảng sợ, khiếp sợ
frightening	kinh khủng, khủng khiếp
front	mặt; đằng trước, về phía trước
frozen	lạnh giá
fruit	quả, trái cây
fry	rán, chiên; thịt rán
fuel	chất đốt, nhiên liệu
full	đầy, đầy đủ
fully	đầy đủ, hoàn toàn
fun	sự vui đùa, sự vui thích; hài hước
function	chức năng; họat động, chạy (máy)
fund	kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
fundamental	cơ bản, cơ sở, chủ yếu
funeral	lễ tang, đám tang
funny	buồn cười, khôi hài
fur	bộ da lông thú
furniture	đồ đạc (trong nhà)
further	xa hơn nữa; thêm nữa
further	xa hơn nữa, thêm nữa, bên kia
furthest	xa hơn hết, xa nhất
future	tương lai
gain	lợi, lợi ích; giành được, kiếm được, đạt tới
gallon	galông 1gl = 4, 54 lít ở anh, 3, 78 lít ở mỹ
gamble	đánh bạc; cuộc đánh bạc
gambling	trò cờ bạc
gap	đèo, lỗ hổng, kẽ hở; chỗ trống
garage	nhà để ô tô
garbage	lòng, ruột (thú)
garden	vườn
gas	khí, hơi đốt
gasoline	dầu lửa, dầu hỏa, xăng
gate	cổng
gather	tập hợp; hái, lượm, thu thập
gear	cơ cấu, thiết bị, dụng cụ
general	chung, chung chung; tổng
generally	nói chung, đại thể
generate	sinh, đẻ ra
generation	sự sinh ra, sự phát sinh ra; thế hệ, đời
generous	rộng lượng, khoan hồng, hào phóng
generously	rộng lượng, hào phóng
gentle	hiền lành, dịu dàng, nhẹ nhàng
gentleman	người quý phái, người thượng lưu
gently	nhẹ nhàng, êm ái, dịu dàng
genuine	thành thật, chân thật; xác thực
genuinely	thành thật, chân thật
geography	địa lý, khoa địa lý
get	được, có được
get off	được, có được
get on	được, có được
get rid of	giải thoát
giant	người khổng lồ, người phi thường; khổng lồ, phi thường
gift	quà tặng
give	cho, biếu, tặng
give sth away	cho, biếu, tặng
give sth out	cho, biếu, tặng
give sth up	cho, biếu, tặng
glad	vui lòng, sung sướng
glass	kính, thủy tinh, cái cốc, ly
glasses	kính đeo mắt
global	v toàn cầu, toàn thể, toàn bộ
glove	bao tay, găng tay
glue	keo, hồ; gắn lại, dán bằng keo, hồ
go down	đậu xanh
go up	đậu xanh
goal	khung thành, bàn thắng, đích, mục đích
gold	vàng; bằng vàng
good	tốt, hay, tuyệt; điều tốt, điều thiện
good at	tốt, hay, tuyệt; điều tốt, điều thiện
good for	tốt, hay, tuyệt; điều tốt, điều thiện
goods	của cải, tài sản, hàng hóa
govern	cai trị, thống trị, cầm quyền
government	chính phủ, nội các; sự cai trị
governor	thủ lĩnh, chủ; kẻ thống trị
grab	túm lấy, vồ, chộp lấy
grade	điểm, điểm số; phân loại, xếp loại
gradual	dần dần, từng bước một
gradually	dần dần, từ từ
grain	thóc lúa, hạt, hột; tính chất, bản chất
gram	đậu xanh
grammar	ngữ pháp, văn phạm
grand	rộng lớn, vĩ đại
grandchild	cháu (của ông bà)
granddaughter	cháu gái
grandson	cháu trai
grant	cho, ban, cấp; sự cho, sự ban, sự cấp
grass	cỏ; bãi cỏ, đồng cỏ
grateful	biết ơn, dễ chịu, khoan khoái
grave	mộ, dấu huyền; trang nghiêm, nghiêm trọng
gray	xám, hoa râm (tóc)
great	to, lớn, vĩ đại
greatly	rất, lắm; cao thượng, cao cả
grey	xám, hoa râm (tóc),xám xịt
grocery	cửa hàng tạp phẩm
ground	mặt đất, đất, bãi đất
group	nhóm
grow	mọc, mọc lên
grow up	mọc, mọc lên
growth	sự lớn lên, sự phát triển
guarantee	sự bảo hành, bảo lãnh, người bảo lãnh; cam đoan, đảm bảo
guard	cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
guess	đoán, phỏng đoán; sự đoán, sự ước chừng
guest	khách, khách mời
guide	điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường
guilty	có tội, phạm tội, tội lỗi
gun	súng
guy	bù nhìn, anh chàng, gã
habit	thói quen, tập quán
hairdresser	thợ làm tóc
half	thợ làm tóc
hall	đại sảnh, tòa (thị chính), hội trường
hammer	búa
hand	tay, bàn tay; trao tay, truyền cho
handle	cầm, sờ mó; tay cầm, móc quai
hang	treo, mắc
happen	xảy ra, xảy đến
happily	sung sướng, hạnh phúc
happiness	sự sung sướng, hạnh phúc
hard	cứng, rắn, hà khắc; hết sức cố gắng, tích cực
hardly	khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
harm	thiệt hại, tổn hao; làm hại, gây thiệt hại
harmful	gây tai hại, có hại
harmless	không có hại
hate	ghét; lòng căm ghét, thù hận
hatred	lòng căm thì, sự căm ghét
head	cái đầu (người, thú); chỉ huy, lãnh đại, dẫn đầu
headache	chứng nhức đầu
heal	chữa khỏi, làm lành
health	sức khỏe, thể chất, sự lành mạnh
healthy	khỏe mạnh, lành mạnh
hear	nghe
hearing	sự nghe, thính giác
heart	tim, trái tim
heat	hơi nóng, sức nóng
heating	sự đốt nóng, sự làm nóng
heaven	thiên đường
heavily	nặng, nặng nề
heavy	nặng, nặng nề
heel	gót chân
height	chiều cao, độ cao; đỉnh, điểm cao
hello	xin chao
helpful	có ích; giúp đỡ
hence	sau đây, kể từ đây; do đó, vì thế
hesitate	ngập ngừng, do dự
hide	trốn, ẩn nấp; che giấu
high	cao, ở mức độ cao
highlight	làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
highly	tốt, cao; hết sức, ở mức độ cao
highway	đường quốc lộ
hill	đồi
hip	hông
hire	thuê, cho thuê (nhà...); sự thuê, sự cho thuê
historical	lịch sử, thuộc lịch sử
history	lịch sử, sử học
hit	đánh, đấm, ném trúng; đòn, cú đấm
hobby	sở thích riêng
hold	cầm, nắm, giữ; sự cầm, sự nắm giữ
hole	lỗ, lỗ trống; hang
hollow	rỗng, trống rỗng
holy	linh thiêng; sùng đạo
honest	lương thiện, trung thực, chân thật
honestly	lương thiện, trung thực, chân thật
honour	danh dự, thanh danh, lòng kính trọng
hook	cái móc; bản lề; lưỡi câu
horizontal	(thuộc) chân trời, ở chân trời; ngang, nằm ngang (trục hoành)
horn	sừng (trâu, bò...)
horror	điều kinh khủng, sự ghê rợn
horse	ngựa
hospital	bệnh viện, nhà thương
host	chủ nhà, chủ tiệc; dẫn (c.trình), đăng cai tổ chức (hội nghị)
household	hộ, gia đình; (thuộc) gia đình
housing	nơi ăn chốn ở
huge	to lớn, khổng lồ
human	(thuộc) con người, loài người
humorous	hài hước, hóm hỉnh
humour	sự hài hước, sự hóm hỉnh
hungry	đói
hunt	săn, đi săn
hunting	sự đi săn
hurry	sự vội vàng, sự gấp rút
hurt	làm bị thương, gây thiệt hại
husband	người chồng
ice	băng, nước đá
idea	ý tưởng, quan niệm
ideal	(thuộc) quan niệm, tư tưởng; lý tưởng
ideally	lý tưởng, đúng như lý tưởng
identify	nhận biết, nhận ra, nhận dạng
identity	cá tính, nét nhận dạng; tính đồng nhất, giống hệt
ignore	phớt lờ, tỏ ra không biết đến
ill	ốm
illegal	trái luật, bất hợp pháp
illegally	trái luật, bất hợp pháp
illness	sự đau yếu, ốm, bệnh tật
illustrate	minh họa, làm rõ ý
image	ảnh, hình ảnh
imaginary	tưởng tượng, ảo
imagination	trí tưởng tượng, sự tưởng tượng
imagine	tưởng tượng, hình dung; tưởng rằng, cho rằng
immediate	lập tức, tức thì
immediately	ngay lập tức
immoral	trái đạo đức, luân lý; xấu xa
impact	sự và chạm, sự tác động, ảnh hưởng
impatient	thiếu kiên nhẫn, nóng vội
impatiently	nóng lòng, sốt ruột
implication	sự lôi kéo, sự liên can, điều gợi ý
imply	ngụ ý, bao hàm
import	sự nhập, sự nhập khẩu; nhập, nhập khẩu
importance	sự quan trọng, tầm quan trọng
important	quan trọng, hệ trọng
importantly	quan trọng, trọng yếu
impose	đánh (thuế...), bắt gánh vác; đánh tráo, lợi dụng
impossible	không thể làm được, không thể xảy ra
impress	ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động
impressed	được ghi, khắc, in sâu vào
impression	ấn tượng, cảm giác; sự in, đóng dấu
impressive	gây ấn tượng mạnh; hùng vĩ, oai vệ
improve	cải thiện, cái tiến, mở mang
improvement	sự cái thiện, sự cải tiến, sự mở mang
in a hurry	sự vội vàng, sự gấp rút
in exchange for	trao đổi; sự trao đổi
in favour of	thiện ý, sự quý mến; sự đồng ý; sự chiếu cố
in front of	mặt; đằng trước, về phía trước
in general	nói chung, đại thể
in honour of	danh dự, thanh danh, lòng kính trọng
in memory of	bộ nhớ, trí nhớ, kỉ niệm
in public	chung, công cộng; công chúng, nhân dân
in spite of	sự giận, sự hận thù
in the end	giới hạn, sự kết thúc; kết thúc, chấm dứt
inability	sự bất lực, bất tài
incident	việc xảy ra, việc có liên quan
include	bao gồm, tính cả
including	bao gồm, kể cả
income	lợi tức, thu nhập
increase	tăng, tăng thêm; sự tăng, sự tăng thêm
increasingly	tăng thêm
indeed	thật vậy, quả thật
independence	sự độc lập, nền độc lập
independent	độc lập
independently	độc lập
index	chỉ số, sự biểu thị
indicate	chỉ, cho biết; biểu thị, trình bày ngắn gọn
indication	sự chỉ, sự biểu thị, sự biểu lộ
indirect	gián tiếp
indirectly	gián tiếp
individual	riêng, riêng biệt; cá nhân
indoor	trong nhà
indoors	ở trong nhà
industrial	(thuộc) công nghiệp, kỹ nghệ
industry	công nghiệp, kỹ nghệ
inevitable	không thể tránh được, chắc chắn xảy ra; vẫn thường thấy,nghe
inevitably	chắc chắn
infect	nhiễm, tiêm nhiễm, đầu độc, lan truyền
infected	bị nhiễm, bị đầu độc
infection	sự nhiễm, sự đầu độc
infectious	lây, nhiễm
influence	sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
inform	báo cho biết, cung cấp tin tức
informal	không chính thức, không nghi thức
information	tin tức, tài liệu, kiến thức
ingredient	phần hợp thành, thành phần
initial	ban đầu, lúc đầu; chữ đầu (của 1 tên gọi)
initially	vào lúc ban đầu, ban đ
initiative	bước đầu, sự khởi đầu
injure	làm tổn thương, làm hại, xúc phạm
injured	bị tổn thương, bị xúc phạm
injury	sự làm tổn thương, làm hại; điều hại, điều tổn hại
ink	mực
inner	ở trong, nội bộ; thân cận
innocent	vô tội, trong trắng, ngây thơ
insect	sâu bọ, côn trùng
insert	chèn vào, lồng vào
inside	mặt trong, phía, phần trong; ở trong, nội bộ
insist on	cứ nhất định, cứ khăng khăng
install	đặt (hệ thống máy móc, thiết bị...)
instance	thí dị, ví dụ; trường hợp cá biệt
instead	để thay thế
instead of	để thay thế
institute	viện, học viện
institution	sự thành lập, lập; cơ quan, trụ sở
instruction	sự dạy, tài liệu cung cấp
instrument	dụng cụ âm nhạc khí
insult	lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
insulting	lăng mạ, xỉ nhục
insurance	sự bảo hiểm
intelligence	sự hiểu biết, trí thông minh
intelligent	thông minh, sáng trí
intend	ý định, có ý định
intended	có ý định, có dụng ý
intention	ý định, mục đích
interest	sự thích thú, sự quan tâm, chú ý; làm quan tâm, chú ý
interested	có thích thú, có quan tâm, có chú ý
interesting	làm thích thú, làm quan tâm, làm chú ý
interior	phần trong, phía trong; ở trong, ở phía trong
internal	ở trong, bên trong, nội địa
international	quốc tế
interpret	giải thích
interpretation	sự giải thích
interrupt	làm gián đoạn, ngắt lời
interruption	sự gián đoạn, sự ngắt lời
interval	khoảng (k-t.gian), khoảng cách
interview	cuộc phỏng vấn, sự gặp mặt; phỏng vấn, nói chuyện riêng
into	vào, vào trong
introduce	giới thiệu
introduction	sự giới thiệu, lời giới thiệu
invent	phát minh, sáng chế
invention	sự phát minh, sự sáng chế
invest	đầu tư
investigate	điều tra, nghiên cứu
investigation	sự điều tra, nghiên cứu
investment	sự đầu tư, vốn đầu tư
invitation	lời mời, sự mời
invite	mời
involve	bao gồm, bao hàm; thu hút, dồn tâm trí
involved in	bao gồm, bao hàm; thu hút, dồn tâm trí
involvement	sự gồm, sự bao hàm; sự để, dồn hết tâm trí vào
iron	sắt; bọc sắt
irritate	làm phát cáu, chọc tức
irritated	tức giận, cáu tiết
irritating	làm phát cáu, chọc tức
island	/´ailənd/ hòn đảo
issue	sự phát ra, sự phát sinh; phát hành, đưa ra
item	tin tức; khoả(n)., mó(n).., tiết mục
jacket	áo vét
jam	mứt
jealous	ghen, ghen tị
jelly	thạch
jewellery	thạch
join	gia nhập, tham gia; nối, chắp, ghép
joint	chung (giữa 2 người hoặc hơn); chỗ nối, đầu nối
jointly	cùng nhau, cùng chung
joke	trò cười, lời nói đùa; nói đùa, giễu cợt
journalist	nhà báo
journey	cuộc hành trình (đường bộ); quãng đường, chặng đường đi
joy	niềm vui, sự vui mừng
judge	xét xử, phân xử; quan tòa, thẩm phán
judgement	xét xử, phân xử; quan tòa, thẩm phán
juice	nước ép (rau, củ, quả)
jump	nhảy; sự nhảy, bước nhảy
junior	trẻ hơn, ít tuổi hơn; người ít tuổi hơn
just	đúng, vừa đủ; vừa mới, chỉ
justice	sự công bằng
justified	hợp lý, được chứng minh là đúng
justify	bào chữa, biện hộ
keen	sắc, bén
keen on	sắc, bén
keep	giữ, giữ lại
keyboard	bàn phím
kick	đá; cú đá
kid	con dê non,đứa trẻ con
killing	sự giết chóc, sự tàn sát
kilometre	sự giết chóc, sự tàn sát
kind	loại, giống; tử tế, có lòng tốt
kindly	tử tế, tốt bụng
kindness	sự tử tế, lòng tốt
king	vua, quốc vương
knee	đầu gối
knife	con dao
knit	đan, thêu
knitted	được đan, được thêu
knitting	việc đan; hàng dệt kim
knock	đánh, đập; cú đánh
knot	cái nơ; điểm nút, điểm trung tâm
knowledge	sự hiểu biết, tri thức
label	nhãn, mác; dán nhãn, ghi mác
laboratory	phòng thí nghiệm
labour	lao động; công việc
lack	sự thiếu; thiếu
lacking	ngu đần, ngây ngô
lady	người yêu, vợ, quý bà, tiểu thư
lake	hồ
lamp	đèn
land	đất, đất canh tác, đất đai
landscape	phong cảnh
lane	đường nhỏ (làng, hẻm phố)
language	ngôn ngữ
large	rộng, lớn, to
largely	phong phú, ở mức độ lớn
last	lầm cuối, sau cùng; người cuối cùng
late	trễ, muộn
later	chậm hơn
latest	muộn nhất, chậm nhất, gần đây nhất
latter	sau cùng, gần đây, mới đây
laugh	cười; tiếng cười
launch	hạ thủy (tàu); khai trương; sự hạ thủy, buổi giới thiệu sản phẩm
law	luật
lawyer	luật sư
lay	xếp, đặt, bố trí
layer	lớp
lazy	lười biếng
lead	lãnh đạo, dẫn dắt; sự lãnh đạo, sự hướng dẫn
leader	người lãnh đạo, lãnh tụ
leading	lãnh đạo, dẫn đầu
leaf	lá cây, lá (vàng...)
league	liên minh, liên hoàn
lean	nghiêng, dựa, ỷ vào
learn	học, nghiên cứu
least	học, nghiên cứu
leather	da thuộc
leather	bỏ đi, rời đi, để lại
leave out	bỏ đi, rời đi, để lại
lecture	bài diễn thuyết, bài thuyết trình, bài nói chuyện
left	bên trái; về phía trái
leg	chân (người, thú, bàn..)
legal	hợp pháp
legally	hợp pháp
lend	cho vay, cho mượn
length	chiều dài, độ dài
less	chiều dài, độ dài
lesson	bài học
let	cho phép, để cho
letter	thư; chữ cái, mẫu tự
level	trình độ, cấp, vị trí; bằng, ngang bằng
library	thư viện
licence	thư viện
license	cấp chứng chỉ, cấp bằng, cho phép
lid	nắp, vung (xoong, nồi..); mi mắt (eyelid)
lie	nói dối; lời nói dối, sự dối trá
life	đời, sự sống
lift	giơ lên, nhấc lên; sự nâng, sự nhấc lên
light	ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng
lightly	nhẹ nhàng
likely	có thể đúng, có thể xảy ra, có khả năng; có thể,chắc vậy
limit	giới hạn, ranh giới; giới hạn, hạn chế
limited	hạn chế, có giới hạn
line	dây, đường, tuyến
link	mắt xích, mối liên lạc; liên kết, kết nối
lip	môi
liquid	chất lỏng; lỏng, êm ái, du dương, không vững
list	danh sách; ghi vào danh sách
literature	/ˈlɪtərətʃər/ văn chương, văn học
litre	lít
little	/ˈlɪtərətʃər/ văn chương, văn học
live	sống, hoạt động
lively	sống, sinh động
living	sống, đang sống
load	gánh nặng, vật nặng; chất, chở
loan	sự vay mượn
local	địa phương, bộ phận, cục bộ
locally	có tính chất địa phương, cục bộ
locate	xác định vị trí, định vị
located	định vị
location	vị trí, sự định vị
lock	mớ tóc, mớ bông; khóa
logic	lô gic
logical	hợp lý, hợp logic
lonely	cô đơn, bơ vơ
long	dài, xa; lâu
look	nhìn; cái nhìn
look after	nhìn; cái nhìn
look at	nhìn; cái nhìn
look for	nhìn; cái nhìn
look forward to	nhìn; cái nhìn
loose	lỏng, không chặt
loosely	lỏng lẻo
lord	chúa, vua
lorry	chúa, vua
lose	mất, thua, lạc
loss	sự mất, sự thua
lost	thua, mất
loud	to, inh ỏi, ầm ĩ; to, lớn (nói)
loudly	ầm ĩ, inh ỏi
low	thấp, bé, lùn
loyal	trung thành, trung kiên
luck	may mắn, vận may
lucky	gặp may, gặp may mắn, hạnh phúc
luggage	hành lý
lump	cục, tảng, miếng; cái bướu
lung	phổi
machine	máy, máy móc
machinery	máy móc, thiết bị
